hotel_id,address,rank,phone,n_Excellent,n_VeryGood,n_Average,n_Poor,n_Terrible,amenities,hotel_class
1636,"43 Sukhumvit Soi 1, None, Bangkok 10110, Thailand",#350,,1,3,0,0,0,Room service | Free High Speed Internet (WiFi) | Concierge | Dry Cleaning | Laundry Service | Non-smoking hotel | Public Wifi | Air conditioning | Microwave | Refrigerator in room | Non-smoking rooms,20
1637,"13 Sathorn Tai Road, None, Bangkok 10120, Thailand",#709,,1,8,7,0,1,Room service | Restaurant | Free High Speed Internet (WiFi) | Concierge | Non-smoking hotel | Family Rooms,
1638,"354 Somdet Chao Phraya Road, Klongsan, Bangkok 10600, Thailand",#700,,2,0,0,0,0,Free High Speed Internet (WiFi) | Breakfast Available | Dry Cleaning | Non-smoking hotel | Public Wifi | Self-Serve Laundry | Air conditioning | Non-smoking rooms,15
1639,"645/14 Petchburi Rd., None, Bangkok 10400, Thailand",#701,,2,1,2,0,0,Bar/Lounge | Free High Speed Internet (WiFi) | Laundry Service | Non-smoking hotel | Air conditioning,20
1640,"3-5 Phahonyothin Soi 15, None, Bangkok, Thailand",#655,,2,0,3,0,0,,35
1641,"36 Sukhumvit Soi 1 Road, None, Bangkok 10110, Thailand",#344,,2,6,7,1,1,Free High Speed Internet (WiFi) | Non-smoking hotel | Public Wifi | Air conditioning | Refrigerator in room | Non-smoking rooms,30
1642,"762, 764 Thanon Chroen Rat, Khlong Ton Sai, Khlong San, None, Bangkok 10600, Thailand",#345,,2,0,0,0,0,Air conditioning | Microwave | Minibar | Refrigerator in room | Kitchenette,
1643,"496/35 Prachar Rat Sai 2 Road, Soi Num Chai, Bang Sue, Bangkok 10800, Thailand",#706,,2,2,0,1,0,Free parking | Free High Speed Internet (WiFi) | Concierge | Laundry Service | Multilingual Staff | Non-smoking hotel | Public Wifi | Self-Serve Laundry | Wheelchair access | Air conditioning | Refrigerator in room | Family Rooms | Non-smoking rooms | Suites,
1644,"6 Soi Supapong 3 Yaek 1, Srinakarin Road, None, Bangkok 10250, Thailand",#710,,1,6,4,0,1,Free parking | Restaurant | Free High Speed Internet (WiFi) | Fitness Center with Gym / Workout Room | Laundry Service | Multilingual Staff | Non-smoking hotel | Public Wifi | Self-Serve Laundry | Air conditioning | Refrigerator in room | Non-smoking rooms,30
1645,"17/2 Sukhumvit Soi 6, Klongtoey, Bangkok 10110, Thailand",#352,,2,5,2,3,0,Room service | Restaurant | Bar/Lounge | Free High Speed Internet (WiFi) | Dry Cleaning | Laundry Service | Non-smoking hotel | Air conditioning | Refrigerator in room,
1646,"270 Soi Ratchada14, None, Bangkok, Thailand",#355,,0,6,4,1,0,Free High Speed Internet (WiFi) | Public Wifi | Air conditioning | Refrigerator in room,20
1647,"258 Soi Charoenrat 3, Thung Wat Don, Sathorn, Bangkok 10120, Thailand",#664,,1,1,0,0,0,,40
1648,"582/30, Soi Ratchadaphisek 3, Din Daeng, None, Bangkok 10400, Thailand",#723,,1,1,0,0,0,,20
1649,"72/5 Soi Samsen 2, Samsen Road, Phra Nakorn, Bangkok 10200, Thailand",#357,,1,1,0,0,0,Restaurant | Free High Speed Internet (WiFi) | Breakfast included | Airport transportation | Suites,30
1650,"1456 Krung Kasem Rd, Wat Thep Sirin, Pom Prap, Bangkok 10100, Thailand",#725,,,,,,,,
1651,"None, None, NoneNone",,,2,8,6,1,2,Free parking | Free High Speed Internet (WiFi) | Room service | Restaurant | Laundry Service | Air conditioning,30
1652,"None, None, NoneNone",,,13,33,17,5,12,Free High Speed Internet (WiFi) | Free parking | Restaurant | Multilingual Staff | Non-smoking hotel | Public Wifi | Air conditioning | Refrigerator in room | Non-smoking rooms | Smoking rooms available | Suites,30
1653,"None, None, NoneNone",,,6,26,28,8,6,Restaurant | Free High Speed Internet (WiFi) | Room service | Free parking | Airport transportation | Concierge | Dry Cleaning | Laundry Service | Non-smoking hotel | Air conditioning | Minibar | Refrigerator in room | Non-smoking rooms,35
1654,"None, None, NoneNone",,,2,2,3,2,0,,25
1655,"9 Sukhumvit 59, Sukhumvit Road, Klongtan-Nua, Wattana,, Khlong Tan Nuea, Bangkok 10110, Thailand",#341,,2,1,1,1,0,,50
1656,"426-430 Rongmueang Rd., None, Bangkok 10330, Thailand",#717,,,,,,,,
1657,"467 soi watanasil, rachaparop rd., makkasan, ratchatewee,  10400, None, Bangkok 10400, Thailand",#658,,25,69,61,28,38,Free parking | Restaurant | Bar/Lounge | Free High Speed Internet (WiFi) | Room service | Spa | Breakfast included | Business Center with Internet Access | Concierge | Dry Cleaning | Laundry Service | Multilingual Staff | Non-smoking hotel | Air conditioning | Minibar | Refrigerator in room | Non-smoking rooms,25
1658,"None, None, NoneNone",,,1,2,1,0,1,Room service | Free parking | Restaurant | Spa | Free High Speed Internet (WiFi) | Breakfast included | Bar/Lounge | Airport transportation | Business Center with Internet Access | Concierge | Dry Cleaning | Golf course | Laundry Service | Meeting rooms | Non-smoking hotel | Wheelchair access | Air conditioning | Suites,30
1659,"392/40 Sukhumvit Road Soi 20, Klong Toey, Bangkok 10110, Thailand",#342,,4,5,2,1,3,Pool | Bar/Lounge | Breakfast included | Fitness Center with Gym / Workout Room | Free High Speed Internet (WiFi) | Breakfast Available | Business Center with Internet Access | Concierge | Dry Cleaning | Laundry Service | Non-smoking hotel | Outdoor pool | Public Wifi | Air conditioning | Minibar | Non-smoking rooms | Suites,40
1660,"225 Soi Sukhumvit 4, Sukhumvit Road, Klongtoey, None, Bangkok 10110, Thailand",#667,,13,35,21,14,11,Pool | Room service | Free parking | Restaurant | Free High Speed Internet (WiFi) | Fitness Center with Gym / Workout Room | Bar/Lounge | Airport transportation | Laundry Service | Non-smoking hotel | Outdoor pool | Shuttle Bus Service | Air conditioning | Refrigerator in room | Family Rooms | Non-smoking rooms,35
1661,"1091/333-4 New Petchburi Road 35, Rajthevee, Bangkok 10400, Thailand",#662,,56,219,180,52,71,Restaurant | Free High Speed Internet (WiFi) | Breakfast included | Concierge | Dry Cleaning | Laundry Service | Non-smoking hotel | Air conditioning | Refrigerator in room | Non-smoking rooms,30
1662,"11 Sutthisan Winitchai Road, Samsen Nai, Phaya Thai, Bangkok 10400, Thailand",#715,,10,5,1,1,4,Free parking | Free High Speed Internet (WiFi) | Breakfast included | Restaurant | Concierge | Non-smoking hotel | Self-Serve Laundry | Air conditioning | Family Rooms | Kitchenette | Non-smoking rooms,20
1663,"No.1/50-51 Sukhumvit 39 Alley , Klongton-Nua Sub District, None, Bangkok 10110, Thailand",#718,,6,6,3,1,5,Free High Speed Internet (WiFi) | Free parking | Airport transportation | Concierge | Laundry Service | Non-smoking hotel | Air conditioning | Refrigerator in room | Family Rooms,30
1664,"84-86 Prasumeru Road, Chanasongkram, Pranakorn, None, Bangkok 10200, Thailand",#348,,,,,,,,
1665,"Phahonyothin Road, 74 Soi Pradipat 25 Pradipat Road Samsennai Phayathay, Bangkok 10400, Thailand",#707,,2,11,15,3,1,Free High Speed Internet (WiFi) | Fitness Center with Gym / Workout Room | Non-smoking hotel | Air conditioning | Refrigerator in room | Kitchenette,20
1666,"43 Sukhumvit Soi 1, None, Bangkok 10110, Thailand",#350,,1,3,0,0,0,Room service | Free High Speed Internet (WiFi) | Concierge | Dry Cleaning | Laundry Service | Non-smoking hotel | Public Wifi | Air conditioning | Microwave | Refrigerator in room | Non-smoking rooms,20
1667,"13 Sathorn Tai Road, None, Bangkok 10120, Thailand",#709,,1,8,7,0,1,Room service | Restaurant | Free High Speed Internet (WiFi) | Concierge | Non-smoking hotel | Family Rooms,
1668,"354 Somdet Chao Phraya Road, Klongsan, Bangkok 10600, Thailand",#700,,2,0,0,0,0,Free High Speed Internet (WiFi) | Breakfast Available | Dry Cleaning | Non-smoking hotel | Public Wifi | Self-Serve Laundry | Air conditioning | Non-smoking rooms,15
1669,"645/14 Petchburi Rd., None, Bangkok 10400, Thailand",#701,,2,1,2,0,0,Bar/Lounge | Free High Speed Internet (WiFi) | Laundry Service | Non-smoking hotel | Air conditioning,20
1670,"3-5 Phahonyothin Soi 15, None, Bangkok, Thailand",#655,,2,0,3,0,0,,35
1671,"36 Sukhumvit Soi 1 Road, None, Bangkok 10110, Thailand",#344,,2,6,7,1,1,Free High Speed Internet (WiFi) | Non-smoking hotel | Public Wifi | Air conditioning | Refrigerator in room | Non-smoking rooms,30
1672,"762, 764 Thanon Chroen Rat, Khlong Ton Sai, Khlong San, None, Bangkok 10600, Thailand",#345,,2,0,0,0,0,Air conditioning | Microwave | Minibar | Refrigerator in room | Kitchenette,
1673,"496/35 Prachar Rat Sai 2 Road, Soi Num Chai, Bang Sue, Bangkok 10800, Thailand",#706,,2,2,0,1,0,Free parking | Free High Speed Internet (WiFi) | Concierge | Laundry Service | Multilingual Staff | Non-smoking hotel | Public Wifi | Self-Serve Laundry | Wheelchair access | Air conditioning | Refrigerator in room | Family Rooms | Non-smoking rooms | Suites,
1674,"6 Soi Supapong 3 Yaek 1, Srinakarin Road, None, Bangkok 10250, Thailand",#710,,1,6,4,0,1,Free parking | Restaurant | Free High Speed Internet (WiFi) | Fitness Center with Gym / Workout Room | Laundry Service | Multilingual Staff | Non-smoking hotel | Public Wifi | Self-Serve Laundry | Air conditioning | Refrigerator in room | Non-smoking rooms,30
1675,"17/2 Sukhumvit Soi 6, Klongtoey, Bangkok 10110, Thailand",#352,,2,5,2,3,0,Room service | Restaurant | Bar/Lounge | Free High Speed Internet (WiFi) | Dry Cleaning | Laundry Service | Non-smoking hotel | Air conditioning | Refrigerator in room,
1676,"270 Soi Ratchada14, None, Bangkok, Thailand",#355,,0,6,4,1,0,Free High Speed Internet (WiFi) | Public Wifi | Air conditioning | Refrigerator in room,20
1677,"258 Soi Charoenrat 3, Thung Wat Don, Sathorn, Bangkok 10120, Thailand",#664,,1,1,0,0,0,,40
1678,"582/30, Soi Ratchadaphisek 3, Din Daeng, None, Bangkok 10400, Thailand",#723,,1,1,0,0,0,,20
1679,"72/5 Soi Samsen 2, Samsen Road, Phra Nakorn, Bangkok 10200, Thailand",#357,,1,1,0,0,0,Restaurant | Free High Speed Internet (WiFi) | Breakfast included | Airport transportation | Suites,30
1680,"1456 Krung Kasem Rd, Wat Thep Sirin, Pom Prap, Bangkok 10100, Thailand",#725,,4,6,3,0,0,Free High Speed Internet (WiFi) | Airport transportation | Dry Cleaning | Non-smoking hotel | Self-Serve Laundry | Family Rooms,20
1681,"2/1-3 Petkasem Road, Soi 35/1 Bangwaa, Pasicharoen, None, Bangkok 10160, Thailand",#666,,2,8,6,1,2,Free parking | Free High Speed Internet (WiFi) | Room service | Restaurant | Laundry Service | Air conditioning,30
1682,"106/1 Soi Sri-Bamphen, Sathorn Road, None, Bangkok 10120, Thailand",#661,,13,33,17,5,12,Free High Speed Internet (WiFi) | Free parking | Restaurant | Multilingual Staff | Non-smoking hotel | Public Wifi | Air conditioning | Refrigerator in room | Non-smoking rooms | Smoking rooms available | Suites,30
1683,"125/7 Soi Ruamrudee, Ploenchit Road, Lumpini, Pathumwan, Bangkok 10330, Thailand",#659,,6,26,28,8,6,Restaurant | Free High Speed Internet (WiFi) | Room service | Free parking | Airport transportation | Concierge | Dry Cleaning | Laundry Service | Non-smoking hotel | Air conditioning | Minibar | Refrigerator in room | Non-smoking rooms,35
1684,"112 Soi Sri Ayudhaya 2, Ratchathewi, Bangkok, Thailand",#663,,2,2,3,2,0,,25
1685,"9 Sukhumvit 59, Sukhumvit Road, Klongtan-Nua, Wattana,, Khlong Tan Nuea, Bangkok 10110, Thailand",#341,,2,1,1,1,0,,50
1686,"426-430 Rongmueang Rd., None, Bangkok 10330, Thailand",#717,,3,12,18,5,2,Free High Speed Internet (WiFi) | Air conditioning,20
1687,"467 soi watanasil, rachaparop rd., makkasan, ratchatewee,  10400, None, Bangkok 10400, Thailand",#658,,25,69,61,28,38,Free parking | Restaurant | Bar/Lounge | Free High Speed Internet (WiFi) | Room service | Spa | Breakfast included | Business Center with Internet Access | Concierge | Dry Cleaning | Laundry Service | Multilingual Staff | Non-smoking hotel | Air conditioning | Minibar | Refrigerator in room | Non-smoking rooms,25
1688,"26 Rom Klao Road, Romklao Soi 6, None, Bangkok 10510, Thailand",#353,,1,2,1,0,1,Room service | Free parking | Restaurant | Spa | Free High Speed Internet (WiFi) | Breakfast included | Bar/Lounge | Airport transportation | Business Center with Internet Access | Concierge | Dry Cleaning | Golf course | Laundry Service | Meeting rooms | Non-smoking hotel | Wheelchair access | Air conditioning | Suites,30
1689,"392/40 Sukhumvit Road Soi 20, Klong Toey, Bangkok 10110, Thailand",#342,,4,5,2,1,3,Pool | Bar/Lounge | Breakfast included | Fitness Center with Gym / Workout Room | Free High Speed Internet (WiFi) | Breakfast Available | Business Center with Internet Access | Concierge | Dry Cleaning | Laundry Service | Non-smoking hotel | Outdoor pool | Public Wifi | Air conditioning | Minibar | Non-smoking rooms | Suites,40
1690,"None, None, NoneNone",,,13,35,21,14,11,Pool | Room service | Free parking | Restaurant | Free High Speed Internet (WiFi) | Fitness Center with Gym / Workout Room | Bar/Lounge | Airport transportation | Laundry Service | Non-smoking hotel | Outdoor pool | Shuttle Bus Service | Air conditioning | Refrigerator in room | Family Rooms | Non-smoking rooms,35
1691,"1091/333-4 New Petchburi Road 35, Rajthevee, Bangkok 10400, Thailand",#662,,56,219,180,52,71,Restaurant | Free High Speed Internet (WiFi) | Breakfast included | Concierge | Dry Cleaning | Laundry Service | Non-smoking hotel | Air conditioning | Refrigerator in room | Non-smoking rooms,30
1692,"11 Sutthisan Winitchai Road, Samsen Nai, Phaya Thai, Bangkok 10400, Thailand",#715,,,,,,,,
1693,"None, None, NoneNone",,,6,6,3,1,5,Free High Speed Internet (WiFi) | Free parking | Airport transportation | Concierge | Laundry Service | Non-smoking hotel | Air conditioning | Refrigerator in room | Family Rooms,30
1694,"84-86 Prasumeru Road, Chanasongkram, Pranakorn, None, Bangkok 10200, Thailand",#348,,3,22,18,6,8,Free parking | Free High Speed Internet (WiFi) | Business Center with Internet Access | Laundry Service | Non-smoking hotel | Air conditioning | Refrigerator in room,30
1695,"Phahonyothin Road, 74 Soi Pradipat 25 Pradipat Road Samsennai Phayathay, Bangkok 10400, Thailand",#707,,2,11,15,3,1,Free High Speed Internet (WiFi) | Fitness Center with Gym / Workout Room | Non-smoking hotel | Air conditioning | Refrigerator in room | Kitchenette,20
1696,"43 Sukhumvit Soi 1, None, Bangkok 10110, Thailand",#350,,1,3,0,0,0,Room service | Free High Speed Internet (WiFi) | Concierge | Dry Cleaning | Laundry Service | Non-smoking hotel | Public Wifi | Air conditioning | Microwave | Refrigerator in room | Non-smoking rooms,20
1697,"13 Sathorn Tai Road, None, Bangkok 10120, Thailand",#709,,1,8,7,0,1,Room service | Restaurant | Free High Speed Internet (WiFi) | Concierge | Non-smoking hotel | Family Rooms,
1698,"None, None, NoneNone",,,2,0,0,0,0,Free High Speed Internet (WiFi) | Breakfast Available | Dry Cleaning | Non-smoking hotel | Public Wifi | Self-Serve Laundry | Air conditioning | Non-smoking rooms,15
1699,"645/14 Petchburi Rd., None, Bangkok 10400, Thailand",#701,,2,1,2,0,0,Bar/Lounge | Free High Speed Internet (WiFi) | Laundry Service | Non-smoking hotel | Air conditioning,20
1700,"3-5 Phahonyothin Soi 15, None, Bangkok, Thailand",#655,,2,0,3,0,0,,35
1701,"36 Sukhumvit Soi 1 Road, None, Bangkok 10110, Thailand",#344,,2,6,7,1,1,Free High Speed Internet (WiFi) | Non-smoking hotel | Public Wifi | Air conditioning | Refrigerator in room | Non-smoking rooms,30
1702,"762, 764 Thanon Chroen Rat, Khlong Ton Sai, Khlong San, None, Bangkok 10600, Thailand",#345,,,,,,,,
1703,"None, None, NoneNone",,,2,2,0,1,0,Free parking | Free High Speed Internet (WiFi) | Concierge | Laundry Service | Multilingual Staff | Non-smoking hotel | Public Wifi | Self-Serve Laundry | Wheelchair access | Air conditioning | Refrigerator in room | Family Rooms | Non-smoking rooms | Suites,
1704,"None, None, NoneNone",,,1,6,4,0,1,Free parking | Restaurant | Free High Speed Internet (WiFi) | Fitness Center with Gym / Workout Room | Laundry Service | Multilingual Staff | Non-smoking hotel | Public Wifi | Self-Serve Laundry | Air conditioning | Refrigerator in room | Non-smoking rooms,30
1705,"17/2 Sukhumvit Soi 6, Klongtoey, Bangkok 10110, Thailand",#352,,2,5,2,3,0,Room service | Restaurant | Bar/Lounge | Free High Speed Internet (WiFi) | Dry Cleaning | Laundry Service | Non-smoking hotel | Air conditioning | Refrigerator in room,
1706,"270 Soi Ratchada14, None, Bangkok, Thailand",#355,,0,6,4,1,0,Free High Speed Internet (WiFi) | Public Wifi | Air conditioning | Refrigerator in room,20
1707,"258 Soi Charoenrat 3, Thung Wat Don, Sathorn, Bangkok 10120, Thailand",#664,,1,1,0,0,0,,40
1708,"582/30, Soi Ratchadaphisek 3, Din Daeng, None, Bangkok 10400, Thailand",#723,,1,1,0,0,0,,20
1709,"72/5 Soi Samsen 2, Samsen Road, Phra Nakorn, Bangkok 10200, Thailand",#357,,1,1,0,0,0,Restaurant | Free High Speed Internet (WiFi) | Breakfast included | Airport transportation | Suites,30
1710,"1456 Krung Kasem Rd, Wat Thep Sirin, Pom Prap, Bangkok 10100, Thailand",#725,,4,6,3,0,0,Free High Speed Internet (WiFi) | Airport transportation | Dry Cleaning | Non-smoking hotel | Self-Serve Laundry | Family Rooms,20
1711,"2/1-3 Petkasem Road, Soi 35/1 Bangwaa, Pasicharoen, None, Bangkok 10160, Thailand",#666,,2,8,6,1,2,Free parking | Free High Speed Internet (WiFi) | Room service | Restaurant | Laundry Service | Air conditioning,30
1712,"106/1 Soi Sri-Bamphen, Sathorn Road, None, Bangkok 10120, Thailand",#661,,13,33,17,5,12,Free High Speed Internet (WiFi) | Free parking | Restaurant | Multilingual Staff | Non-smoking hotel | Public Wifi | Air conditioning | Refrigerator in room | Non-smoking rooms | Smoking rooms available | Suites,30
1713,"125/7 Soi Ruamrudee, Ploenchit Road, Lumpini, Pathumwan, Bangkok 10330, Thailand",#659,,6,26,28,8,6,Restaurant | Free High Speed Internet (WiFi) | Room service | Free parking | Airport transportation | Concierge | Dry Cleaning | Laundry Service | Non-smoking hotel | Air conditioning | Minibar | Refrigerator in room | Non-smoking rooms,35
1714,"112 Soi Sri Ayudhaya 2, Ratchathewi, Bangkok, Thailand",#663,,2,2,3,2,0,,25
1715,"9 Sukhumvit 59, Sukhumvit Road, Klongtan-Nua, Wattana,, Khlong Tan Nuea, Bangkok 10110, Thailand",#341,,2,1,1,1,0,,50
1716,"426-430 Rongmueang Rd., None, Bangkok 10330, Thailand",#717,,3,12,18,5,2,Free High Speed Internet (WiFi) | Air conditioning,20
1717,"467 soi watanasil, rachaparop rd., makkasan, ratchatewee,  10400, None, Bangkok 10400, Thailand",#658,,25,69,61,28,38,Free parking | Restaurant | Bar/Lounge | Free High Speed Internet (WiFi) | Room service | Spa | Breakfast included | Business Center with Internet Access | Concierge | Dry Cleaning | Laundry Service | Multilingual Staff | Non-smoking hotel | Air conditioning | Minibar | Refrigerator in room | Non-smoking rooms,25
1718,"26 Rom Klao Road, Romklao Soi 6, None, Bangkok 10510, Thailand",#353,,1,2,1,0,1,Room service | Free parking | Restaurant | Spa | Free High Speed Internet (WiFi) | Breakfast included | Bar/Lounge | Airport transportation | Business Center with Internet Access | Concierge | Dry Cleaning | Golf course | Laundry Service | Meeting rooms | Non-smoking hotel | Wheelchair access | Air conditioning | Suites,30
1719,"392/40 Sukhumvit Road Soi 20, Klong Toey, Bangkok 10110, Thailand",#342,,4,5,2,1,3,Pool | Bar/Lounge | Breakfast included | Fitness Center with Gym / Workout Room | Free High Speed Internet (WiFi) | Breakfast Available | Business Center with Internet Access | Concierge | Dry Cleaning | Laundry Service | Non-smoking hotel | Outdoor pool | Public Wifi | Air conditioning | Minibar | Non-smoking rooms | Suites,40
1720,"225 Soi Sukhumvit 4, Sukhumvit Road, Klongtoey, None, Bangkok 10110, Thailand",#667,,13,35,21,14,11,Pool | Room service | Free parking | Restaurant | Free High Speed Internet (WiFi) | Fitness Center with Gym / Workout Room | Bar/Lounge | Airport transportation | Laundry Service | Non-smoking hotel | Outdoor pool | Shuttle Bus Service | Air conditioning | Refrigerator in room | Family Rooms | Non-smoking rooms,35
1721,"1091/333-4 New Petchburi Road 35, Rajthevee, Bangkok 10400, Thailand",#662,,56,219,180,52,71,Restaurant | Free High Speed Internet (WiFi) | Breakfast included | Concierge | Dry Cleaning | Laundry Service | Non-smoking hotel | Air conditioning | Refrigerator in room | Non-smoking rooms,30
1722,"11 Sutthisan Winitchai Road, Samsen Nai, Phaya Thai, Bangkok 10400, Thailand",#715,,,,,,,,
1723,"No.1/50-51 Sukhumvit 39 Alley , Klongton-Nua Sub District, None, Bangkok 10110, Thailand",#718,,6,6,3,1,5,Free High Speed Internet (WiFi) | Free parking | Airport transportation | Concierge | Laundry Service | Non-smoking hotel | Air conditioning | Refrigerator in room | Family Rooms,30
1724,"84-86 Prasumeru Road, Chanasongkram, Pranakorn, None, Bangkok 10200, Thailand",#348,,3,22,18,6,8,Free parking | Free High Speed Internet (WiFi) | Business Center with Internet Access | Laundry Service | Non-smoking hotel | Air conditioning | Refrigerator in room,30
1725,"None, None, NoneNone",,,2,11,15,3,1,Free High Speed Internet (WiFi) | Fitness Center with Gym / Workout Room | Non-smoking hotel | Air conditioning | Refrigerator in room | Kitchenette,20
1726,"43 Sukhumvit Soi 1, None, Bangkok 10110, Thailand",#350,,1,3,0,0,0,Room service | Free High Speed Internet (WiFi) | Concierge | Dry Cleaning | Laundry Service | Non-smoking hotel | Public Wifi | Air conditioning | Microwave | Refrigerator in room | Non-smoking rooms,20
1727,"13 Sathorn Tai Road, None, Bangkok 10120, Thailand",#709,,,,,,,,
1728,"354 Somdet Chao Phraya Road, Klongsan, Bangkok 10600, Thailand",#700,,2,0,0,0,0,Free High Speed Internet (WiFi) | Breakfast Available | Dry Cleaning | Non-smoking hotel | Public Wifi | Self-Serve Laundry | Air conditioning | Non-smoking rooms,15
1729,"645/14 Petchburi Rd., None, Bangkok 10400, Thailand",#701,,2,1,2,0,0,Bar/Lounge | Free High Speed Internet (WiFi) | Laundry Service | Non-smoking hotel | Air conditioning,20
1730,"3-5 Phahonyothin Soi 15, None, Bangkok, Thailand",#655,,2,0,3,0,0,,35
1731,"36 Sukhumvit Soi 1 Road, None, Bangkok 10110, Thailand",#344,,2,6,7,1,1,Free High Speed Internet (WiFi) | Non-smoking hotel | Public Wifi | Air conditioning | Refrigerator in room | Non-smoking rooms,30
1732,"None, None, NoneNone",,,2,0,0,0,0,Air conditioning | Microwave | Minibar | Refrigerator in room | Kitchenette,
1733,"496/35 Prachar Rat Sai 2 Road, Soi Num Chai, Bang Sue, Bangkok 10800, Thailand",#706,,2,2,0,1,0,Free parking | Free High Speed Internet (WiFi) | Concierge | Laundry Service | Multilingual Staff | Non-smoking hotel | Public Wifi | Self-Serve Laundry | Wheelchair access | Air conditioning | Refrigerator in room | Family Rooms | Non-smoking rooms | Suites,
1734,"6 Soi Supapong 3 Yaek 1, Srinakarin Road, None, Bangkok 10250, Thailand",#710,,1,6,4,0,1,Free parking | Restaurant | Free High Speed Internet (WiFi) | Fitness Center with Gym / Workout Room | Laundry Service | Multilingual Staff | Non-smoking hotel | Public Wifi | Self-Serve Laundry | Air conditioning | Refrigerator in room | Non-smoking rooms,30
1735,"17/2 Sukhumvit Soi 6, Klongtoey, Bangkok 10110, Thailand",#352,,2,5,2,3,0,Room service | Restaurant | Bar/Lounge | Free High Speed Internet (WiFi) | Dry Cleaning | Laundry Service | Non-smoking hotel | Air conditioning | Refrigerator in room,
1736,"270 Soi Ratchada14, None, Bangkok, Thailand",#355,,0,6,4,1,0,Free High Speed Internet (WiFi) | Public Wifi | Air conditioning | Refrigerator in room,20
1737,"258 Soi Charoenrat 3, Thung Wat Don, Sathorn, Bangkok 10120, Thailand",#664,,1,1,0,0,0,,40
1738,"582/30, Soi Ratchadaphisek 3, Din Daeng, None, Bangkok 10400, Thailand",#723,,1,1,0,0,0,,20
1739,"72/5 Soi Samsen 2, Samsen Road, Phra Nakorn, Bangkok 10200, Thailand",#357,,1,1,0,0,0,Restaurant | Free High Speed Internet (WiFi) | Breakfast included | Airport transportation | Suites,30
1740,"1456 Krung Kasem Rd, Wat Thep Sirin, Pom Prap, Bangkok 10100, Thailand",#725,,4,6,3,0,0,Free High Speed Internet (WiFi) | Airport transportation | Dry Cleaning | Non-smoking hotel | Self-Serve Laundry | Family Rooms,20
1741,"2/1-3 Petkasem Road, Soi 35/1 Bangwaa, Pasicharoen, None, Bangkok 10160, Thailand",#666,,2,8,6,1,2,Free parking | Free High Speed Internet (WiFi) | Room service | Restaurant | Laundry Service | Air conditioning,30
1742,"106/1 Soi Sri-Bamphen, Sathorn Road, None, Bangkok 10120, Thailand",#661,,13,33,17,5,12,Free High Speed Internet (WiFi) | Free parking | Restaurant | Multilingual Staff | Non-smoking hotel | Public Wifi | Air conditioning | Refrigerator in room | Non-smoking rooms | Smoking rooms available | Suites,30
1743,"125/7 Soi Ruamrudee, Ploenchit Road, Lumpini, Pathumwan, Bangkok 10330, Thailand",#659,,6,26,28,8,6,Restaurant | Free High Speed Internet (WiFi) | Room service | Free parking | Airport transportation | Concierge | Dry Cleaning | Laundry Service | Non-smoking hotel | Air conditioning | Minibar | Refrigerator in room | Non-smoking rooms,35
1744,"None, None, NoneNone",,,2,2,3,2,0,,25
1745,"None, None, NoneNone",,,2,1,1,1,0,,50
1746,"426-430 Rongmueang Rd., None, Bangkok 10330, Thailand",#717,,3,12,18,5,2,Free High Speed Internet (WiFi) | Air conditioning,20
1747,"467 soi watanasil, rachaparop rd., makkasan, ratchatewee,  10400, None, Bangkok 10400, Thailand",#658,,25,69,61,28,38,Free parking | Restaurant | Bar/Lounge | Free High Speed Internet (WiFi) | Room service | Spa | Breakfast included | Business Center with Internet Access | Concierge | Dry Cleaning | Laundry Service | Multilingual Staff | Non-smoking hotel | Air conditioning | Minibar | Refrigerator in room | Non-smoking rooms,25
1748,"26 Rom Klao Road, Romklao Soi 6, None, Bangkok 10510, Thailand",#353,,1,2,1,0,1,Room service | Free parking | Restaurant | Spa | Free High Speed Internet (WiFi) | Breakfast included | Bar/Lounge | Airport transportation | Business Center with Internet Access | Concierge | Dry Cleaning | Golf course | Laundry Service | Meeting rooms | Non-smoking hotel | Wheelchair access | Air conditioning | Suites,30
1749,"392/40 Sukhumvit Road Soi 20, Klong Toey, Bangkok 10110, Thailand",#342,,4,5,2,1,3,Pool | Bar/Lounge | Breakfast included | Fitness Center with Gym / Workout Room | Free High Speed Internet (WiFi) | Breakfast Available | Business Center with Internet Access | Concierge | Dry Cleaning | Laundry Service | Non-smoking hotel | Outdoor pool | Public Wifi | Air conditioning | Minibar | Non-smoking rooms | Suites,40
1750,"225 Soi Sukhumvit 4, Sukhumvit Road, Klongtoey, None, Bangkok 10110, Thailand",#667,,13,35,21,14,11,Pool | Room service | Free parking | Restaurant | Free High Speed Internet (WiFi) | Fitness Center with Gym / Workout Room | Bar/Lounge | Airport transportation | Laundry Service | Non-smoking hotel | Outdoor pool | Shuttle Bus Service | Air conditioning | Refrigerator in room | Family Rooms | Non-smoking rooms,35
1751,"1091/333-4 New Petchburi Road 35, Rajthevee, Bangkok 10400, Thailand",#662,,56,219,180,52,71,Restaurant | Free High Speed Internet (WiFi) | Breakfast included | Concierge | Dry Cleaning | Laundry Service | Non-smoking hotel | Air conditioning | Refrigerator in room | Non-smoking rooms,30
